year,reporter,partner,co2_tonnes
2017,KOR,JPN,36965.977450919156
2017,KOR,MEX,68704.37206888471
2017,KOR,MYS,23550.431777785005
2017,KOR,THA,15848.146878281208
2017,KOR,USA,517532.0655451863
2017,KOR,VNM,95857.53415805589
2017,MEX,CAN,23560.179814122865
2017,MEX,CHN,584342.7823004423
2017,MEX,DEU,112267.96292071036
2017,MEX,JPN,111636.45227379318
2017,MEX,KOR,91464.06152989219
2017,MEX,MYS,79839.56143864605
2017,MEX,THA,74746.15176895475
2017,MEX,USA,431273.76782532583
2017,MEX,VNM,29257.044972371874
2017,MYS,CAN,5139.791139350344
2017,MYS,CHN,108034.08736528779
2017,MYS,DEU,71130.27257305314
2017,MYS,JPN,57921.55383938136
2017,MYS,KOR,20627.298746593762
2017,MYS,MEX,21128.818718974944
2017,MYS,THA,12296.828639881513
2017,MYS,USA,265515.34180936037
2017,MYS,VNM,3359.5312888576664
2017,THA,CAN,6905.003950246286
2017,THA,CHN,83931.08882135124
2017,THA,DEU,52010.67813825561
2017,THA,JPN,104391.4902702373
2017,THA,KOR,14410.692282888014
2017,THA,MEX,30565.06636212646
2017,THA,MYS,11174.248487042049
2017,THA,USA,263653.1582820681
2017,THA,VNM,3511.90303723381
2017,USA,CAN,236293.7100817925
2017,USA,CHN,3260105.41000629
2017,USA,DEU,587036.3314145317
2017,USA,JPN,731958.538308982
2017,USA,KOR,489722.1683531383
2017,USA,MEX,491324.6724365677
2017,USA,MYS,365042.6213764287
2017,USA,THA,294474.8563544668
2017,USA,VNM,181838.94046794192
2017,VNM,CAN,9083.336797182457
2017,VNM,CHN,94406.95390063427
2017,VNM,DEU,34353.58161983044
2017,VNM,JPN,48088.363148442215
2017,VNM,KOR,90227.80551812662
2017,VNM,MEX,12879.16727536355
2017,VNM,MYS,2880.865876380233
2017,VNM,THA,3480.62139573443
2017,VNM,USA,152155.0812119369
2018,CAN,CHN,266449.03465137375
2018,CAN,DEU,66810.08382328521
2018,CAN,JPN,57299.92129979556
2018,CAN,KOR,21145.040893849167
2018,CAN,MEX,46295.786980444755
2018,CAN,MYS,16162.172036999964
2018,CAN,THA,17250.407260173302
2018,CAN,USA,211077.03492152403
2018,CAN,VNM,14036.550914747373
2018,CHN,CAN,127378.62240095877
2018,CHN,DEU,791466.2505631256
2018,CHN,JPN,277395.39843633614
2018,CHN,KOR,111116.65770370228
2018,CHN,MEX,328599.9433227879
2018,CHN,MYS,164192.1231383457
2018,CHN,THA,113350.72742425243
2018,CHN,USA,3060984.8396749557
2018,CHN,VNM,134539.19415280566
2018,DEU,CAN,55031.520649775324
2018,DEU,CHN,1072268.5513597424
2018,DEU,JPN,203750.9441167788
2018,DEU,KOR,133390.03838332652
2018,DEU,MEX,100135.42824221298
2018,DEU,MYS,96295.93891601654
2018,DEU,THA,66450.36321644863
2018,DEU,USA,846990.4832837521
2018,DEU,VNM,58527.98937137876
2018,JPN,CAN,24581.292028237185
2018,JPN,CHN,272894.4151366019
2018,JPN,DEU,150611.308207353
2018,JPN,KOR,32944.850905852916
2018,JPN,MEX,78163.51527513728
2018,JPN,MYS,48909.738618017014
2018,JPN,THA,113960.02513463017
2018,JPN,USA,804842.4697339054
2018,JPN,VNM,52593.742621260986
2018,KOR,CAN,15204.596144232411
2018,KOR,CHN,96156.6915699937
2018,KOR,DEU,114062.16492273285
2018,KOR,JPN,34308.260678842074
2018,KOR,MEX,65521.04571469989
2018,KOR,MYS,25592.94093877903
2018,KOR,THA,15413.328386168498
